Date,1,2,3,4,5,6-10,11-20,21+
2/1/2016,455,125,52,25,9,12,6,2
2/2/2016,218,47,17,14,7,12,3,2
2/3/2016,225,79,47,12,6,16,5,2
2/4/2016,60,7,7,7,3,7,4,3
2/5/2016,22,4,9,4,1,3,,2
2/6/2016,28,4,3,2,,4,3,1
2/7/2016,21,2,1,,2,3,,1
2/8/2016,64,20,13,8,5,5,4,2
2/9/2016,218,64,34,15,10,13,3,2
2/10/2016,85,20,12,9,8,2,3,3
2/11/2016,816,281,106,47,25,29,4,3
2/12/2016,421,80,17,16,3,8,1,4
2/13/2016,38,7,1,5,1,3,1,1
2/14/2016,19,1,5,6,1,3,1,2
2/15/2016,31,10,4,2,3,6,4,3
2/16/2016,245,63,26,21,5,18,6,3
2/17/2016,500,155,57,44,15,16,8,3
2/18/2016,315,62,21,13,3,5,4,2
2/19/2016,612,180,78,27,18,25,2,1
2/20/2016,220,40,18,2,4,5,1,1
2/21/2016,60,8,4,2,2,2,4,1
2/22/2016,21,8,5,2,3,2,1,1
2/23/2016,1724,683,332,150,68,101,15,5
2/24/2016,844,206,64,27,15,23,2,1
2/25/2016,319,134,49,29,9,30,9,2
2/26/2016,167,51,14,14,5,7,1,2
2/27/2016,34,5,2,1,4,3,1,1
2/28/2016,31,5,5,1,6,3,,1
2/1/2017,19501,3180,768,292,134,244,53,10
2/2/2017,17708,1526,309,210,80,145,28,1
2/3/2017,4925,601,149,85,27,49,6,1
2/4/2017,10971,1237,272,73,35,26,4,1
2/5/2017,12686,925,76,9,6,8,3,
2/6/2017,10435,677,60,14,3,1,,
2/7/2017,3391,221,60,42,16,16,2,
2/8/2017,664,259,84,35,23,23,6,
2/9/2017,207,38,14,4,3,4,,
2/10/2017,484,234,90,47,28,39,6,
2/11/2017,1570,308,103,61,23,26,2,
2/12/2017,2337,565,100,24,8,6,1,
2/13/2017,2447,441,121,41,16,30,3,
2/14/2017,1287,381,149,76,27,29,4,
2/15/2017,510,111,36,18,6,11,,
2/16/2017,67,9,3,3,,1,,
2/17/2017,24,1,,,,,,
2/18/2017,6,2,1,,,,,
2/19/2017,21,1,,,,1,,
2/20/2017,4,2,,,,1,,
2/21/2017,4,,1,,,,,
2/22/2017,1872,101,15,7,3,1,,
2/23/2017,2159,271,89,52,25,21,1,
2/24/2017,1441,68,13,1,,5,1,1
2/25/2017,32,10,,,,,,
2/26/2017,9,2,1,,,,,
2/27/2017,1171,302,83,45,22,27,1,
2/28/2017,702,307,130,87,45,68,6,1
