Date,checkin,checkin,coupon,event,fan,mention,other,page post,question,user post
2/1/2016,,,,,43,1,,15,,3
2/2/2016,,,,,39,,,17,,2
2/3/2016,,,,,34,1,,32,,2
2/4/2016,,,,,35,1,,33,,2
2/5/2016,,,,,27,1,,32,,1
2/6/2016,,,,,28,1,,32,,1
2/7/2016,,,,,32,1,,32,,1
2/8/2016,1,,,,35,1,2,23,,1
2/9/2016,1,,,,33,1,2,22,,1
2/10/2016,1,,,,36,,2,8,,1
2/11/2016,1,,,,39,,2,57,,2
2/12/2016,1,,,,44,,2,69,,2
2/13/2016,1,,,,45,,2,72,,2
2/14/2016,1,,,,50,,2,72,,2
2/15/2016,,,,,51,,,70,,1
2/16/2016,,,,,53,,,85,,1
2/17/2016,,,,,56,,,110,,1
2/18/2016,,,,,56,,,65,,
2/19/2016,,,,,55,1,,67,,
2/20/2016,,,,,56,1,,70,,
2/21/2016,,,,,52,1,,70,,
2/22/2016,,,,,48,1,,70,,
2/23/2016,,,,,51,2,,108,,1
2/24/2016,,,,,56,2,,93,,3
2/25/2016,,,,,56,2,,94,,3
2/26/2016,,,,,59,1,,84,,3
2/27/2016,2,,,,53,1,2,79,,3
2/28/2016,2,,,,56,1,2,79,,3
2/1/2017,0,0,0,0,615,2,314,47,0,0
2/2/2017,0,0,0,0,643,2,471,58,0,0
2/3/2017,0,0,0,0,645,1,526,58,0,0
2/4/2017,0,0,0,0,589,0,642,60,0,0
2/5/2017,0,0,0,0,470,0,750,62,0,0
2/6/2017,0,0,0,0,367,1,811,59,0,0
2/7/2017,0,0,0,0,302,1,803,56,0,0
2/8/2017,0,0,0,0,263,2,647,33,0,0
2/9/2017,0,0,0,0,251,3,513,24,0,0
2/10/2017,0,0,0,0,228,3,468,22,0,0
2/11/2017,0,0,0,0,171,3,380,16,0,0
2/12/2017,0,0,0,0,127,3,366,20,0,0
2/13/2017,0,0,0,0,108,2,327,21,0,0
2/14/2017,0,0,0,0,97,4,313,21,0,0
2/15/2017,0,0,0,0,96,3,313,21,0,0
2/16/2017,0,0,0,0,89,2,310,19,0,0
2/17/2017,0,0,0,0,85,2,291,19,0,0
2/18/2017,0,0,0,0,76,2,206,18,0,1
2/19/2017,0,0,0,0,68,2,88,12,0,1
2/20/2017,0,0,0,0,47,2,35,8,0,1
2/21/2017,0,0,0,0,47,0,18,7,0,1
2/22/2017,0,0,0,0,46,0,11,8,0,1
2/23/2017,0,0,0,0,43,2,24,8,0,1
2/24/2017,0,0,0,0,48,2,25,8,0,1
2/25/2017,0,0,0,0,51,2,26,7,0,0
2/26/2017,0,0,0,0,51,2,24,7,0,0
2/27/2017,0,0,0,0,47,2,91,8,0,0
2/28/2017,0,0,0,0,43,2,101,7,0,0
